"","dateCrawled","name","seller","offerType","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","model","kilometer","monthOfRegistration","fuelType","brand","notRepairedDamage","dateCreated","nrOfPictures","postalCode","lastSeen"
"119542","2016-03-08 20:44:15","Audi_80_2.6_V6_Quattro_Tuev_11/17","privat","Angebot",959,"control","limousine",1993,"manuell",150,"80",150000,8,"benzin","audi","nein","2016-03-08 00:00:00",0,35236,"2016-03-12 22:44:42"
"10726","2016-03-13 12:45:20","VW_Golf_3_Automatik__TÜV_11/16","privat","Angebot",550,"test","limousine",1993,"automatik",75,"golf",150000,7,"benzin","volkswagen","","2016-03-13 00:00:00",0,61130,"2016-03-17 13:15:57"
"108852","2016-04-02 23:06:24","schoener_Wagen__einzigartige_Ausstattung_und_Farbe","privat","Angebot",1990,"control","cabrio",1992,"manuell",140,"escort",150000,3,"benzin","ford","","2016-04-02 00:00:00",0,57614,"2016-04-06 14:44:56"
"144449","2016-03-21 21:52:59","Suzuki_SX4_1.9_DDiS_DPF_4x4_Club","privat","Angebot",6700,"control","limousine",2008,"manuell",120,"andere",100000,6,"diesel","suzuki","nein","2016-03-21 00:00:00",0,83676,"2016-04-07 02:46:32"
"3578","2016-03-14 15:53:50","Passat_mit_Rumaenischer_zulassung_vollkasko_versicherung_!","privat","Angebot",1650,"control","limousine",1997,"manuell",120,"passat",150000,0,"benzin","volkswagen","nein","2016-03-14 00:00:00",0,46117,"2016-04-05 19:44:52"
"188023","2016-04-03 15:39:52","VW_Passat_1_6_Ltr","privat","Angebot",850,"test","kombi",1999,"manuell",101,"passat",150000,11,"benzin","volkswagen","","2016-04-03 00:00:00",0,29303,"2016-04-05 14:44:53"
"117983","2016-03-16 20:56:45","Fiat_Doblo_Cargo_Multijet_das_Handwerkerauto","privat","Angebot",5200,"control","bus",2007,"manuell",101,"doblo",100000,2,"diesel","fiat","nein","2016-03-16 00:00:00",0,86971,"2016-04-05 05:17:33"
"51735","2016-03-11 10:36:24","VW_Tiguan_4_Motion","privat","Angebot",6900,"test","andere",2007,"manuell",140,"tiguan",150000,12,"diesel","volkswagen","nein","2016-03-11 00:00:00",0,10551,"2016-03-11 10:36:24"
"142191","2016-04-04 22:49:07","Vw_Bora_HINGUCKER","privat","Angebot",2049,"test","limousine",1999,"manuell",101,"bora",150000,8,"benzin","volkswagen","nein","2016-04-04 00:00:00",0,47800,"2016-04-07 01:45:59"
"151135","2016-03-20 13:36:24","Insignia_2.0_CDTI_4x4_OPC_Line_Start_Stop_Navi_Xenon","privat","Angebot",7500,"test","limousine",2011,"automatik",160,"insignia",40000,10,"diesel","opel","nein","2016-03-20 00:00:00",0,10115,"2016-03-20 13:36:24"
"149127","2016-03-22 10:52:29","Toyota_HiAce_D_4D_/_ALLRAD_/_2x_Schiebetuer_/_Anhaengerk.","privat","Angebot",3450,"control","bus",2004,"manuell",102,"andere",150000,6,"diesel","toyota","ja","2016-03-22 00:00:00",0,56727,"2016-03-23 18:16:55"
"109432","2016-03-19 20:59:15","Volkswagen_Polo_1.4_Comfortline","privat","Angebot",5765,"control","kleinwagen",2009,"manuell",86,"polo",150000,10,"benzin","volkswagen","nein","2016-03-19 00:00:00",0,84529,"2016-04-07 09:17:13"
"185387","2016-03-23 13:58:49","VW_Scirocco_2_0_TSI__DSG_Vollleder_Navigation___Top_Zustand","privat","Angebot",9990,"test","coupe",2009,"automatik",200,"scirocco",150000,1,"benzin","volkswagen","","2016-03-23 00:00:00",0,39114,"2016-04-03 01:48:22"
"137802","2016-03-05 22:41:27","Peugeot_206","privat","Angebot",2000,"control","kleinwagen",2004,"manuell",60,"2_reihe",150000,0,"benzin","peugeot","","2016-03-05 00:00:00",0,50389,"2016-04-07 08:45:30"
"32829","2016-03-16 00:39:01","VW_TOURAN_1.4_TSI_EcoFuel_2010_**48.000_km**_1Hd.__Nichtraucher!","privat","Angebot",11990,"test","",2017,"manuell",150,"touran",50000,4,"cng","volkswagen","nein","2016-03-15 00:00:00",0,30167,"2016-03-18 03:19:29"
"95557","2016-03-27 16:54:37","Mercedes_Benz_E_270_T_CDI_Avantgarde","privat","Angebot",3300,"test","kombi",2000,"manuell",170,"e_klasse",150000,6,"diesel","mercedes_benz","nein","2016-03-27 00:00:00",0,17033,"2016-04-05 13:18:49"
"39233","2016-03-25 17:37:25","BMW_118d_DPF","privat","Angebot",5700,"test","limousine",2007,"manuell",143,"1er",150000,7,"diesel","bmw","","2016-03-25 00:00:00",0,23730,"2016-04-06 22:44:45"
"88797","2016-03-16 07:54:19","Smart___fortwo_coupe_cdi_passion","privat","Angebot",2600,"control","coupe",2005,"automatik",30,"fortwo",125000,11,"diesel","smart","nein","2016-03-16 00:00:00",0,24360,"2016-03-25 07:49:25"
"30663","2016-03-19 13:48:57","Mazda_MPV_2.0_TD","privat","Angebot",999,"test","bus",2003,"manuell",136,"andere",150000,8,"diesel","mazda","nein","2016-03-19 00:00:00",0,97688,"2016-03-25 15:49:23"
"10895","2016-03-08 19:52:17","Opel_Corsa_1.2_16V","privat","Angebot",5590,"test","kleinwagen",2007,"manuell",80,"corsa",50000,7,"benzin","opel","nein","2016-03-08 00:00:00",0,65201,"2016-04-05 16:45:11"
"60406","2016-03-09 20:41:00","BMW_530_d_2002","privat","Angebot",4400,"test","limousine",2002,"automatik",193,"5er",150000,7,"diesel","bmw","nein","2016-03-09 00:00:00",0,52222,"2016-03-22 07:50:26"
"158905","2016-03-17 12:50:04","Mercedes__Benz_A170_CDI__integ._Kindersitze__Anhaengerkupplung","privat","Angebot",2850,"test","",2017,"manuell",95,"a_klasse",150000,2,"diesel","mercedes_benz","nein","2016-03-17 00:00:00",0,36037,"2016-04-06 15:17:14"
"116276","2016-03-08 10:51:41","Rover_Cabrio","privat","Angebot",450,"test","cabrio",1999,"manuell",115,"andere",150000,12,"benzin","rover","","2016-03-08 00:00:00",0,34314,"2016-03-12 15:47:41"
"179510","2016-03-08 16:31:29","Seat_Leon_1.8_TSI_FR___Vollausstattung_1.Hand","privat","Angebot",11490,"control","limousine",2012,"manuell",160,"leon",70000,7,"benzin","seat","nein","2016-03-08 00:00:00",0,60386,"2016-03-20 20:18:28"
"15406","2016-03-13 03:48:25","Verkaufe_Sehr_gepflegten_Nissan_Primera._TÜV_auf_Wunsch_neu","privat","Angebot",2150,"test","limousine",2001,"manuell",105,"primera",150000,10,"benzin","nissan","nein","2016-03-11 00:00:00",0,17491,"2016-03-24 18:18:22"
"52779","2016-03-23 09:55:45","BMW_535i_M_Packet_Voll_Leder_Braun_Klima_TÜV_Neu_","privat","Angebot",3500,"test","limousine",1998,"automatik",235,"",150000,8,"","bmw","nein","2016-03-23 00:00:00",0,6242,"2016-03-23 10:39:38"
"50504","2016-03-27 09:54:16","BMW_Z4_roadster_2.5i___AC_Schnitzer__Sommerfahrzeug","privat","Angebot",11990,"test","cabrio",2003,"manuell",192,"z_reihe",100000,4,"benzin","bmw","nein","2016-03-27 00:00:00",0,93482,"2016-04-07 05:17:08"
"154657","2016-03-26 13:46:30","Skoda_Fabia_1.9_TDI_Combi_Elegance_guter_Zustand","privat","Angebot",2999,"control","kombi",2006,"manuell",101,"fabia",150000,1,"diesel","skoda","","2016-03-26 00:00:00",0,29633,"2016-04-02 03:17:38"
"145530","2016-03-17 15:38:58","Suzuki_Swift_1_3_LPG","privat","Angebot",5150,"test","limousine",2009,"manuell",92,"swift",125000,3,"lpg","suzuki","nein","2016-03-17 00:00:00",0,35447,"2016-04-06 22:44:45"
"71951","2016-03-22 13:48:38","Mazda_323_F_1.5_BA","privat","Angebot",749,"control","limousine",1995,"manuell",88,"3_reihe",150000,1,"benzin","mazda","nein","2016-03-22 00:00:00",0,37133,"2016-04-06 02:45:22"
"26310","2016-03-19 12:36:19","Ford_Transit_300_M_TDE","privat","Angebot",2290,"test","bus",2002,"manuell",101,"transit",150000,6,"diesel","ford","nein","2016-03-19 00:00:00",0,26160,"2016-03-19 12:36:19"
"93251","2016-04-04 15:54:44","VW_Golf_5_2.0_TDI_GT_Tuev_03.18_/_4_Tuerer","privat","Angebot",3600,"test","limousine",2005,"manuell",140,"golf",150000,7,"diesel","volkswagen","nein","2016-04-04 00:00:00",0,32107,"2016-04-06 17:44:53"
"86038","2016-03-18 14:37:58","Ford_Mondeo_2.5__Turnier_V6_Aut._Ghia","privat","Angebot",5800,"test","kombi",2005,"automatik",170,"mondeo",125000,11,"cng","ford","nein","2016-03-18 00:00:00",0,86462,"2016-04-05 22:17:29"
"109902","2016-03-18 15:48:50","Audi_A3_1.6_Ambition","privat","Angebot",5750,"control","limousine",2007,"manuell",102,"a3",150000,7,"benzin","audi","nein","2016-03-18 00:00:00",0,44137,"2016-03-29 13:16:27"
"165230","2016-03-28 00:55:45","Vw_T4_Kleinbus_9_Sitzer_2.2017_Tuev","privat","Angebot",1200,"control","bus",1992,"manuell",60,"transporter",150000,4,"diesel","volkswagen","nein","2016-03-28 00:00:00",0,25704,"2016-03-28 09:40:32"
"90214","2016-03-23 23:52:30","206_CC_110_Platinum","privat","Angebot",3000,"control","cabrio",2001,"manuell",109,"2_reihe",150000,12,"benzin","peugeot","nein","2016-03-23 00:00:00",0,45149,"2016-03-24 07:42:20"
"12960","2016-03-07 05:57:44","Volkswagen_Golf_1.4_Edition","privat","Angebot",2850,"test","limousine",2000,"manuell",75,"golf",80000,3,"benzin","volkswagen","nein","2016-03-07 00:00:00",0,34599,"2016-03-21 03:45:34"
