Link;Author;Title;Rating;Text;Date
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;krishkhatiwada;Visually Stunning, lacking everywhere else.;6/10;The movie starts with a great sequence introducing us to the post apocalyptic-steampunk world, and how it works. But from their on the movie is predictable and rushed, with story lines that you have seen elsewhere and executed better elsewhere. It's predictablility wouldn't hurt if the story and most of its characters were compelling enough to allow the audience to be invested and care. As the third act of the movie began I quickly tried to rummage through the entire movie trying to justify watching the movie and I was left with only a few reasons. One of them was the world created.Standout character: Shrike, solid arc and amazing design. (You have seen this character in the trailer).;6 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;danielfnemes;Better than expected;7/10;"When I heard the name and concept of the movie (it's about big cities on wheels) I thought wtf, what a stupid idea and wasted talent and money on CGI. However I found the movie to be pretty entertaining.
The good parts:
as everyone else mentioned in their reviews: the visuals/CGI. Beautiful scenery and sets, vibrant colors, spectaculars battles, very good cinematographyvery dynamic. There is almost non stop action and anticipation. No bathroom time.strong performance of Hugo Weavingstrong performance of Stephen Lang and CGI team for Shrike characterNow, if you think of the movie as a modern fairy tale for children and teenagers than it is more than ok. If you expect more...
Well, here are the bad things:
the concept itself lacks any logic. After a world war destroys the advanced stage of evolution the humanity have reached, the remaining humans build huge mobile islands on land that move on tracks or wheels or legs to scavenge... something. While others build a great city defended by a wall.as others have mentioned, the movie tries to fit a lot of things from the books in two hours and it fails. The characters have no depth, no complexity and there is no real emotional attachment to themtoo much resemblance to Mad Maxthere are no big names involved except for Hugo Weaving and of course Peter Jackson as a writerthe plot is predictable, with holes and its main purpose is to justify the action and special effects. Annoying cliches both in characters, lines and story (the wise old Asian, the warrior girl, etc). Oh and yeah, SPOILER ALERT there is a genuine ""I am your father"" moment...However the movie manages to entertain. It is a pity it was a box office flop. Probably because of the concept itself which is hard to sell, the lack of efficient marketing, the bad critic reviews and mostly the lack of big names that would draw interest. Not to mention the competition with other movies launched in the same period such as Aquaman.Conclusion: you will not regret seeing the movie if you want to see a visually stunning modern fairy tale. But don't expect Lord of The Rings.";10 March 2019
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;bob-the-movie-man;At last, the hilarious Brexit comedy we've all been waiting for.;5/10;"As comedy goes it's classic gold! London has been transferred, presumably via a futuristic huge forklift truck of some kind, onto a huge chassis and is now chugging its way across mainland Europe. Needing fuel, it has the capability to gobble-up (take that Barnier!) other towns and cities (also roaming the countryside) which London 'digests' (smoke that Tusk!). Curiously, the captured cities' inhabitants are not exterminated but integrated into the City's population: so much for any anti-immigration policy! (LOL).But all doesn't go entirely smoothly for the UK capital. The Lord Mayor of London (Patrick Malahide) declares ""We should never have gone into Europe. It's the biggest mistake we ever made"". (Classic: how we SNORTED with laughter!)Stuffing it squarely to the 'remainers', London makes its own future. ""It's time to show the world how strong London can be"". Having conquered most of Europe, it's time to set its sights on new markets to conquer: so London takes the Chinese on! (Now the tears of laughter are flowing freely!) Trade deals have never been more entertaining since ""Star Wars: The Phantom Menace""!OK, so in the interests of 'advertising standards', I'd better make clear before you rush out to the cinema expecting a comedy feature that my tongue is firmly in my cheek here. For ""Mortal Engines"" is the latest sci-fi feature from Peter Jackson. But when viewed from a Brexit perspective, it's hilarious!In terms of plot, this (like ""Waterworld"") makes clever use of the Universal logo to set the agenda. The world has been decimated with a worldwide war - though clearly one that selectively destroyed bits of London and not others! - and the survivors must try to survive in any way they can. Settlements are divided between those that are 'static' and those (like London) that are mobile and constantly evolving: ""Municipal Darwinism"" as it is hysterically described. But London, or rather the power-crazed Londoner Thaddeus Valentine (Hugo Weaving), wants revolution rather than evolution and he is working on development of one of the super-weapons that started the world's demise in the first place.But Hester Shaw (Hera Hilmar), separated when young from her mother Pandora (yes, she has a box and we've seen it: wink, wink) is intent on stopping him, since she is on a personal path of vengence. Teaming up with Londoner Tom (Robert Sheehan) and activist Anna Fang (Jihae) they must face both Thaddeus and the ever-relentless Shrike (Stephen Lang) to try to derail the destructive plan.Anna Fang declares ""I'm not subtle"" and neither is this movie. The film is loud and action-filled and (as a significant plus) visually extremely impressive with it. I'm not a great fan of excessive CGI but here it is essential, and the special-effects team do a great job. The production design is tremendous - a lot of money has been thrown at this - and the costume design inventive, a high-spot (again snortworthy) being the Beefeater guards costumes!Where the film really crashes, like a post-Brexit stock market, is with the dialogue. The screenplay by Jackson himself, with his regular writers Fran Walsh and Phillipa Boyens contains some absolute clunkers, notwithstanding the unintended LOL-worthy Brexit irony. It's jaw-droppingly bad, believe me.As for 'the turns', the only real ""name"" in the whole film is Jackson-favourite Hugo Weaving. Just about everyone else in the cast is pretty well unknown, and in many cases it shows. Standing head and shoulders though for me over the rest of the cast was Icelandic actress Hera Hilmar, who strikes a splendidly feisty pose as the mentally and physically scarred Hester. I look forward to seeing what she does next.Story-wise, there's not a sci-fi film that's not been looted, and a number of other films seem to be plundered too. (I can't comment on how much of this comes from the source book by Philip Reeve). The Londonmobile looks for all the world like Monty Python's ""Crimson Permanent Assurance Company""; the teenage female lead is Sarah Connors, relentlessly pursued by The Terminator; the male lead is archaologist cum hot-shot pilot Indiana Solo, leather jacket and all; there is a Blade Runner moment; a battle that is a meld of ""The Great Wall"" and Morannon from ""The Lord of the Rings: The Two Towers""; a less sophisticated aerial location from ""The Empire Strikes Back""; and another classic Star Wars moment (without the words being actually said!).Now I'm loathe to say anything bad about director Peter Jackson, after his breathtakingly memorable ""They Shall Not Grown Old"". And the film has its moments of flair, most memorably a ""life flashing before your eyes scene"" that I found genuinely moving. But overall, as an actioner, it's a bit of a mess. It's a long way from being the worse film I've seen this year by a long stroke - it kept me interested and amused in equal measure for the running time. But I think given it's initially bombed at the Box Office, any plans Jackson had to deliver a series of these movies might need to be self-funded.(For the full graphical review, please check out One Mann's Movies on the web or Facebook. Thanks).";23 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;helenamfsoares;Great CGI and that's about it;5/10;Like many reviews said, you can easily spot other films' plots in this one. Predictable, basic and 0 empathy for characters. Save yourself some money and watch it at home when available.;6 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;CountJonnie;The only soul in this movie, comes from the soulless monster Shrike;4/10;"Thankfully, the reviews helped us getting into this movie with the right expectation. The movie is empty, hollow, predictable, rushed. The effects are slightly entertaining but fail to keep your interest for longer than 10-20 minutes.The only light in this movie, is brought to you by Stephen Lang's portrayal of the soulless and heartless monster Shrike. With a short amount of screen time, text and action, he is the only character that makes this movie slightly interesting. After that, the movie hits a wall. ;)";8 February 2019
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;ymyuseda;Great Stunning Animation Effects;6/10;"Rating 6.5/10
The only good thing about this novie were the visual and when the moster who keeps ' Hester Shaw ' from child forgives her and free from the promise she has made. The first 10 To 15 minutes in this movie is boring. For me, this movie not to bad, just average.";12 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;teovirtanen;While visually entertaining, missing purpose;6/10;Movie has nice new idea, acting is good and movie is visually entertaining. What this film is missing is purpose. I do not get the idea of these cities or why they need to attack others. There is not really reason for all this violence. What are they trying to acheive? What is the end result that they need?;25 August 2020
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;winnermd57;The plot is quite predictable , but still a lot of fun;8/10;"The effects of the movie are quite excellent. The atmosphere and the place took for film was quite spectacular and amazing.
The movie continues the plot quite quick , not much conversation break during the show with a lot of action. Some plot of the movie are not too reasonable but still acceptable.
For me, this is one of the worth watching movie in 2018.";5 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;raudafitriani;Have some potential but boring & predictable.;6/10;"I've seen a lot movies like this, so I think this movie is not for me - it's for the newcomers. Great visuals, CGI looks good also the cinematography but the story has some flaws and the characters are flat and annoying. Useless sub plots, I don't think it's necessary and lame.Zero empathy for characters, wasted talent of Hugo Weaving - the only reason why I want to watch this movie. Although the first scene of the movie looks promising.Another thing that I hate about this movie, there's some line in this movie like ""I don't want to tell you."" then they looking at each other, and then ""5 years ago..."" and I'm like.. w-what.. the hell...";7 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;kees-kleijmeer;Dissapointing;4/10;"I had high hopes for this movie, I really wanted to like it, I absolutely love the fantasy setting, CGI looks great.
I didn't know the movie was based on a book series, but early on in the movie I thought to my self, this movie feels like it is based on a book story of which they are leaving a lot of important stuff out. And what do you know...
I'm not even going to go I'm detail about everything I didn't like, it just felt lazy written and filled with dumb clichés.";6 December 2018
