ProductID,zip,Units,Revenue,Datekey,city,state,latitude,longitude
2332,26041,1,514.4475,20141030,Moundsville,WV,39.912923,-80.73701
2225,64157,1,68.1975,20150317,Kansas City,MO,39.283535,-94.4705
826,60139,1,1333.4475,20110312,Glendale Heights,IL,41.920228,-88.07891
428,36116,1,1181.1975,20111019,Montgomery,AL,32.31324,-86.23672
204,16407,1,789.81,20110804,Corry,PA,41.919028,-79.65224
449,54915,1,1039.4475,20130430,Appleton,WI,44.244753,-88.37783
996,32209,1,719.1975,20150312,Jacksonville,FL,30.354588,-81.69113
1177,95503,1,251.9475,20121129,Eureka,CA,40.757091,-124.1513
578,87015,1,787.4475,20140713,Edgewood,NM,35.075777,-106.19155
1060,29627,1,173.1975,20100108,Belton,SC,34.517231,-82.49053
2332,10475,1,571.725,20110524,Bronx,NY,40.878522,-73.82541
778,45701,1,151.2,20140425,Athens,OH,39.322847,-82.09728
1853,91201,1,377.9475,20130706,Glendale,CA,34.17013,-118.29158
491,65714,1,892.4475,20150506,Nixa,MO,37.045593,-93.30563
563,28542,1,779.5725,20120606,Camp Lejeune,NC,34.664035,-77.463687
487,62418,1,1102.4475,20110308,Brownstown,IL,39.018987,-88.96134
834,32137,1,1102.4475,20130419,Palm Coast,FL,29.581683,-81.21645
2218,87015,1,167.475,20130509,Edgewood,NM,35.075777,-106.19155
676,91913,1,761.1975,20100529,Chula Vista,CA,32.642486,-116.98973
2097,61727,1,577.4475,20140331,Clinton,IL,40.145501,-88.96776
1090,90277,1,383.1975,20100629,Redondo Beach,CA,33.828815,-118.38322
1049,36277,1,257.1975,20100309,Weaver,AL,33.754308,-85.81991
826,37830,1,1217.9475,20120417,Oak Ridge,TN,35.992691,-84.27044
2331,28542,1,655.725,20100501,Camp Lejeune,NC,34.664035,-77.463687
996,67218,1,719.1975,20150529,Wichita,KS,37.670092,-97.27953
605,62677,1,419.9475,20150514,Pleasant Plains,IL,39.847253,-89.88059
2143,95693,1,451.4475,20110331,Wilton,CA,38.382367,-121.23708
549,28227,1,551.1975,20150508,Charlotte,NC,35.192919,-80.66822
2225,89048,1,62.9475,20150415,Pahrump,NV,36.218341,-116.00994
1774,91403,1,839.9475,20141217,Sherman Oaks,CA,34.152513,-118.46396
734,30710,1,430.4475,20110129,Cohutta,GA,34.935105,-84.94642
927,60623,1,605.85,20130318,Chicago,IL,41.850232,-87.718
2084,34653,1,740.1975,20120531,New Port Richey,FL,28.248558,-82.69869
580,60101,1,834.4875,20100413,Addison,IL,41.931573,-88.00222
2388,27295,1,346.4475,20110224,Lexington,NC,35.856896,-80.28961
1518,89131,1,230.895,20140723,Las Vegas,NV,36.294596,-115.24685
276,92103,1,472.2375,20120818,San Diego,CA,32.746018,-117.16715
2224,14224,1,78.225,20131219,Buffalo,NY,42.836858,-78.75557
506,22718,1,1296.6975,20150201,Elkwood,VA,38.493501,-77.82067
636,52804,2,1763.895,20150426,Davenport,IA,41.546931,-90.61964
2337,84405,1,419.475,20140408,Ogden,UT,41.165551,-111.9675
183,19446,1,724.5,20150408,Lansdale,PA,40.237206,-75.29156
1186,98296,1,383.1975,20140716,Snohomish,WA,47.846083,-122.11068
1124,72401,1,692.9475,20100614,Jonesboro,AR,35.844795,-90.68443
819,85224,1,1396.4475,20150514,Chandler,AZ,33.328951,-111.8735
449,61856,1,1102.185,20110519,Monticello,IL,40.0334,-88.57375
1077,44641,1,351.6975,20140929,Louisville,OH,40.843685,-81.26298
549,77389,1,551.1975,20120217,Spring,TX,30.10824,-95.51716
734,82604,1,425.1975,20150226,Casper,WY,42.791242,-106.53986
2393,21206,1,110.1975,20150223,Baltimore,MD,39.341107,-76.54085
761,83707,1,191.5725,20100326,Boise,ID,43.38469,-115.997118
449,61726,1,1023.6975,20120305,Chenoa,IL,40.740106,-88.70948
980,54729,1,409.4475,20140512,Chippewa Falls,WI,44.932711,-91.38877
1997,26624,1,787.4475,20100712,Gassaway,WV,38.704457,-80.79366
688,46563,1,551.1975,20120406,Plymouth,IN,41.347159,-86.32023
1085,56336,1,131.1975,20140317,Grey Eagle,MN,45.819474,-94.76247
777,27844,1,151.2,20120430,Hollister,NC,36.255897,-77.93998
1528,53217,1,419.9475,20111220,Milwaukee,WI,43.14351,-87.90894
792,60551,1,70.8225,20100519,Sheridan,IL,41.527585,-88.68292
2332,94541,1,571.725,20121212,Hayward,CA,37.674431,-122.08883
1375,83128,1,482.9475,20130513,Alpine,WY,43.129462,-110.93247
2275,99217,2,855.75,20101026,Spokane,WA,47.707542,-117.33776
506,45895,1,1296.6975,20150618,Wapakoneta,OH,40.56914,-84.17288
909,94110,1,246.6975,20121229,San Francisco,CA,37.74873,-122.41545
907,34952,1,608.9475,20140923,Port Saint Lucie,FL,27.291694,-80.29691
927,77029,1,629.475,20130628,Houston,TX,29.760794,-95.26043
2403,19945,1,133.35,20111213,Frankford,DE,38.511469,-75.18364
1171,20170,1,356.9475,20100513,Herndon,VA,38.977109,-77.38527
1852,20016,1,178.4475,20140428,Washington,DC,38.94081,-77.08723
908,72758,1,220.4475,20130730,Rogers,AR,36.306616,-94.14622
461,31032,1,1144.4475,20130126,Gray,GA,33.003455,-83.55078
2354,77520,1,388.4475,20110510,Baytown,TX,29.74877,-94.94389
491,63376,1,892.4475,20101231,Saint Peters,MO,38.778579,-90.62045
1177,91106,1,251.9475,20130311,Pasadena,CA,34.142557,-118.12715
2395,94109,1,157.4475,20100408,San Francisco,CA,37.792778,-122.42188
438,27455,1,997.4475,20141214,Greensboro,NC,36.156707,-79.80644
1085,76306,1,91.8225,20140729,Wichita Falls,TX,33.942496,-98.51923
759,37398,1,165.3225,20150225,Winchester,TN,35.192829,-86.14045
1176,97007,1,614.1975,20140522,Beaverton,OR,45.469079,-122.85602
531,53151,1,629.7375,20141022,New Berlin,WI,42.980163,-88.09438
588,34145,1,619.4475,20140218,Marco Island,FL,25.940112,-81.71329
808,95519,1,343.8225,20110625,Mckinleyville,CA,40.963482,-124.07286
2345,89701,1,446.1975,20100518,Carson City,NV,39.147877,-119.74536
1879,37211,1,944.9475,20100622,Nashville,TN,36.079259,-86.72584
706,59101,1,283.4475,20110524,Billings,MT,45.737525,-108.48754
487,37075,1,1102.4475,20100104,Hendersonville,TN,36.311047,-86.61173
491,24523,1,892.4475,20150301,Bedford,VA,37.339184,-79.52839
676,85379,1,761.1975,20110111,Surprise,AZ,33.616888,-112.40158
487,30144,1,1102.4475,20140710,Kennesaw,GA,34.038949,-84.59706
1007,77084,1,486.675,20120515,Houston,TX,29.839155,-95.66391
461,55340,1,1128.6975,20120720,Hamel,MN,45.07343,-93.56455
981,72113,1,178.4475,20140717,Maumelle,AR,34.854746,-92.39981
659,15683,1,1469.9475,20140928,Scottdale,PA,40.103791,-79.59396
470,48428,1,1102.185,20110117,Dryden,MI,42.936145,-83.13471
1566,35150,1,372.6975,20130204,Sylacauga,AL,33.185782,-86.25105
2138,28311,1,430.4475,20100218,Fayetteville,NC,35.134301,-78.89411
506,13167,1,1244.1975,20110427,West Monroe,NY,43.309645,-76.0552
2369,70448,1,435.225,20130531,Mandeville,LA,30.367119,-90.05999
457,31601,1,997.4475,20100731,Valdosta,GA,30.807279,-83.28661
580,17103,1,834.4875,20141028,Harrisburg,PA,40.274389,-76.86217
1115,92027,1,456.6975,20130823,Escondido,CA,33.142706,-117.03049
443,28311,1,892.4475,20110219,Fayetteville,NC,35.134301,-78.89411
1908,80234,1,446.1975,20131130,Denver,CO,39.9091,-105.00829
