company;product;typename;inches;screenresolution;cpu_company;cpu_type;cpu_frequency_ghz;ram_gb;memory;gpu_company;gpu_type;opsys;weight_kg;price_euro
Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel;Core i5;23;80;128GB SSD;Intel;Iris Plus Graphics 640;macOS;137;133969
Apple;Macbook Air;Ultrabook;133;1440x900;Intel;Core i5;18;80;128GB Flash Storage;Intel;HD Graphics 6000;macOS;134;89894
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;No OS;186;5750
Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel;Core i7;27;160;512GB SSD;AMD;Radeon Pro 455;macOS;183;253745
Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel;Core i5;31;80;256GB SSD;Intel;Iris Plus Graphics 650;macOS;137;18036
Acer;Aspire 3;Notebook;156;1366x768;AMD;A9-Series 9420;30;40;500GB HDD;AMD;Radeon R5;Windows 10;21;4000
Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel;Core i7;22;160;256GB Flash Storage;Intel;Iris Pro Graphics;Mac OS X;204;213997
Apple;Macbook Air;Ultrabook;133;1440x900;Intel;Core i5;18;80;256GB Flash Storage;Intel;HD Graphics 6000;macOS;134;11587
Asus;ZenBook UX430UN;Ultrabook;140;Full HD 1920x1080;Intel;Core i7 8550U;18;160;512GB SSD;Nvidia;GeForce MX150;Windows 10;13;14950
Acer;Swift 3;Ultrabook;140;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;16;7700
HP;250 G6;Notebook;156;1366x768;Intel;Core i5 7200U;25;40;500GB HDD;Intel;HD Graphics 620;No OS;186;3939
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;500GB HDD;Intel;HD Graphics 520;No OS;186;34499
Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel;Core i7;28;160;256GB SSD;AMD;Radeon Pro 555;macOS;183;243997
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;256GB SSD;AMD;Radeon R5 M430;Windows 10;22;4,989E+16
Apple;"MacBook 12""";Ultrabook;120;IPS Panel Retina Display 2304x1440;Intel;Core M m3;12;80;256GB SSD;Intel;HD Graphics 615;macOS;9,2E+15;12624
Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel;Core i5;23;80;256GB SSD;Intel;HD Graphics 620;macOS;137;151855
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;AMD;Radeon R5 M430;Windows 10;22;7450
Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel;Core i7;29;160;512GB SSD;AMD;Radeon Pro 560;macOS;183;28580
Lenovo;IdeaPad 320-15IKB;Notebook;156;Full HD 1920x1080;Intel;Core i3 7100U;24;80;1TB HDD;Nvidia;GeForce 940MX;No OS;22;4,99E+16
Dell;XPS 13;Ultrabook;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;80;128GB SSD;Intel;UHD Graphics 620;Windows 10;122;9790
Asus;Vivobook E200HA;Netbook;116;1366x768;Intel;Atom x5-Z8350;144;20;32GB Flash Storage;Intel;HD Graphics 400;Windows 10;98;1,919E+16
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;25;9990
HP;255 G6;Notebook;156;1366x768;AMD;E-Series E2-9000e;15;40;500GB HDD;AMD;Radeon R2;No OS;186;2580
Dell;Inspiron 5379;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;162;8190
HP;15-BS101nv (i7-8550U/8GB/256GB/FHD/W10);Ultrabook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;HD Graphics 620;Windows 10;191;6590
Dell;Inspiron 3567;Notebook;156;1366x768;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 520;Windows 10;23;41864
Apple;MacBook Air;Ultrabook;133;1440x900;Intel;Core i5;16;80;128GB Flash Storage;Intel;HD Graphics 6000;Mac OS X;135;10990
